cep,latitude,longitude,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024,media,maximo,minimo,soma,tendencia,casos_previstos_2026,risco_2026
19901732,-22.992602959920635,-49.872288351984125,0,0,0,0,1,1,2,4,9,2,1.9,9,0,19,2,5.576050140436564,MEDIO
19915530,-22.9614731125,-49.859046175,0,0,0,0,0,0,0,1,1,4,0.6,4,0,6,4,5.549862701400343,MEDIO
19908040,-22.970858136666664,-49.90341510333333,0,0,0,0,0,2,0,1,4,4,1.1,4,0,11,4,5.545458300721293,MEDIO
19914190,-22.984821670281885,-49.86838235313645,0,0,0,0,3,0,0,0,3,7,1.3,7,0,13,7,5.508292371974676,MEDIO
19912380,-22.987587887083333,-49.85568196916667,0,0,0,0,0,0,1,1,3,6,1.1,6,0,11,6,5.50162124788767,MEDIO
19904724,-22.95793745,-49.8739374375,0,0,0,0,0,0,0,0,1,4,0.5,4,0,5,4,5.4984515925780215,MEDIO
19901230,-22.991966966264883,-49.87300741769345,1,0,0,1,4,0,3,5,9,2,2.5,9,0,25,1,5.496618476725416,MEDIO
19905495,-23.00455909823718,-49.88758613685897,0,0,0,0,4,0,1,0,3,0,0.8,4,0,8,0,5.494390838442996,MEDIO
19915631,-22.9538904325,-49.857641415,0,0,0,1,0,0,0,2,1,2,0.6,2,0,6,2,5.483036043426182,MEDIO
19900101,-22.979664748888887,-49.86747088555556,0,0,0,0,1,0,1,2,0,5,0.9,5,0,9,5,5.466944755984514,MEDIO
19914310,-22.9677302,-49.86009750625,0,0,0,0,0,0,1,0,4,2,0.7,4,0,7,2,5.462845977597681,MEDIO
19915742,-22.987405286482687,-49.79968184350649,0,0,0,0,0,0,1,0,2,5,0.8,5,0,8,5,5.453281367719683,MEDIO
19914080,-22.973877738888888,-49.85778964102564,0,0,0,0,2,0,4,3,1,4,1.4,4,0,14,4,5.44398523955897,MEDIO
19901730,-22.997504424285715,-49.87205639142857,0,0,0,0,1,0,2,0,8,2,1.3,8,0,13,2,5.425105735395846,MEDIO
19902130,-22.992062368333333,-49.86407363333333,0,0,0,0,5,0,0,2,3,3,1.3,5,0,13,3,5.405665986092572,MEDIO
19904255,-23.01500391333333,-49.88033412074074,0,0,0,0,1,0,4,1,5,3,1.4,5,0,14,3,5.393799076409778,MEDIO
19912324,-22.95973745848214,-49.83558217886905,0,0,0,0,1,0,1,1,2,2,0.7,2,0,7,2,5.376405204850926,MEDIO
19910040,-22.96361949083333,-49.88476354666667,0,0,0,0,0,0,0,2,3,3,0.8,3,0,8,3,5.337996285668851,MEDIO
19911825,-22.963912722205883,-49.869984944816174,0,0,0,1,5,0,0,1,0,0,0.7,5,0,7,0,5.33689192433485,MEDIO
19905040,-22.991106480555555,-49.88013722111111,0,0,0,0,5,0,3,2,7,0,1.7,7,0,17,0,5.305657785114818,MEDIO
19906282,-22.99020854238095,-49.88759488428572,0,0,0,1,0,0,2,1,7,0,1.1,7,0,11,0,5.301372590982282,MEDIO
19905157,-22.9566887,-49.8724477,0,0,0,0,4,0,0,0,1,0,0.5,4,0,5,0,5.279750931661511,MEDIO
19905336,-22.998140551666665,-49.88607321833333,0,0,0,1,0,0,0,3,4,4,1.2,4,0,12,4,5.272947676327021,MEDIO
19914020,-22.97394720066137,-49.85873197248677,0,0,0,0,2,0,7,2,4,2,1.7,7,0,17,2,5.256837230297606,MEDIO
19906544,-22.98718214285714,-49.89230157396825,0,0,0,0,1,0,1,3,5,3,1.3,5,0,13,3,5.24118365043978,MEDIO
19911065,-22.96792185833333,-49.87730528333333,0,0,0,0,1,0,0,0,0,5,0.6,5,0,6,5,5.235666312338253,MEDIO
19901010,-22.9875564675,-49.86673890569444,0,0,0,0,2,0,1,1,6,5,1.5,6,0,15,5,5.22871371972542,MEDIO
19900970,-22.96798574725297,-49.87285717629464,0,0,0,0,0,0,1,3,5,1,1.0,5,0,10,1,5.203364130276896,MEDIO
19906280,-22.9899972375,-49.888808904166666,0,0,0,0,0,0,1,0,8,4,1.3,8,0,13,4,5.123248249639801,MEDIO
19914987,-22.993043939952784,-49.87179776643057,0,0,0,0,4,0,2,0,1,0,0.7,4,0,7,0,5.104187251445183,MEDIO
